"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2009;"JUV";"Court";0,00104166666666666;0,0104166666666667;0,0208333333333333;0,03125;0,040625;"Aquatique"
2010;"JUV";"Court";0;0;0;0;0;"Aquatique"
2011;"JUV";"Court";0;0;0;0,0185185185185185;0,0351851851851852;"Aquatique"
2012;"JUV";"Court";0;0;0;0;0;"Aquatique"
2013;"JUV";"Court";0;0;0;0;0;"Aquatique"
2014;"JUV";"Court";0;0;0,0138888888888889;0,0317028985507246;0,0423007246376812;"Aquatique"
2015;"JUV";"Court";0;0;0;0;0,0186170212765957;"Aquatique"
2016;"JUV";"Court";0;0;0;0,0178571428571429;0,0339285714285714;"Aquatique"
2017;"JUV";"Court";0;0;0;0;0,055;"Aquatique"
2018;"JUV";"Court";0;0;0;0;0,06875;"Aquatique"
2019;"JUV";"Court";0;0;0;0;0;"Aquatique"
2001;"AD";"Long";0,130434782608696;0,130434782608696;0,130434782608696;0,130434782608696;0,130434782608696;"Aquatique"
2002;"AD";"Long";0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741;"Aquatique"
2003;"AD";"Long";0;0;0;0;0;"Aquatique"
2005;"AD";"Long";0,122898799313894;0,138078902229846;0,15494568324757;0,171812464265294;0,186992567181246;"Aquatique"
2006;"AD";"Long";0,0820795194508009;0,136012585812357;0,195938215102975;0,255863844393593;0,309796910755149;"Aquatique"
2007;"AD";"Long";0,00535714285714285;0,0535714285714286;0,103510895883777;0,155266343825666;0,208383777239709;"Aquatique"
2008;"AD";"Long";0,00646551724137931;0,0646551724137931;0,12088122605364;0,165174129353234;0,191144278606965;"Aquatique"
2009;"AD";"Long";0,123643603782977;0,134395221503235;0,146341463414634;0,161406025824964;0,174964131994261;"Aquatique"
2010;"AD";"Long";0,00576923076923077;0,0576923076923077;0,103678929765886;0,155518394648829;0,223244147157191;"Aquatique"
2011;"AD";"Long";0,00703125;0,0703125;0,104017857142857;0,127967806841046;0,164909456740443;"Aquatique"
2012;"AD";"Long";0,130643382352941;0,141727941176471;0,147916666666667;0,176453488372093;0,247877906976744;"Aquatique"
2013;"AD";"Long";0,0813315590659341;0,110190590659341;0,124955689471819;0,137314734088928;0,159677419354839;"Aquatique"
2014;"AD";"Long";0,0667980908902262;0,0983606557377049;0,102564102564103;0,111111111111111;0,194296951819076;"Aquatique"
2015;"AD";"Long";0;0;0,032258064516129;0,125;0,174916366443644;"Aquatique"
